nct_id,intervention_seq,intervention_type,intervention_name,description
NCT00481923,1,DRUG,rimonabant (SR141716),
NCT02122029,1,BEHAVIORAL,Lifestyle counselling,Behavioral techniques for weight management
NCT02122029,2,PROCEDURE,Bariatric Surgery,Vertical Banding Gastroplasty
NCT04283578,1,DRUG,OT,"One group will receive OT for 4 weeks, then placebo or OT for 8 weeks"
NCT04283578,2,DRUG,Placebo comparator,"One group will receive Placebo for 4 weeks, then Placebo or OT for 8 weeks."
NCT00479609,1,DRUG,Transdermal testosterone therapy,testosterone 1% hydroalcohol gel
NCT00479609,2,DRUG,Placebo,Placebo gel
NCT06363747,1,OTHER,Very Low Calorie Diet,Optifast is a medically supervised very low-calorie diet (VLCD) diet that safely induces caloric restriction
NCT03585413,1,DIETARY_SUPPLEMENT,Micronutrient-probiotic-combination,"Specific combined micronutrient-probiotic-supplement with different vitamins, minerals, phytochemicals and bioactive substances, and a mixture of 10 different probiotic bacteria."
NCT03585413,2,DIETARY_SUPPLEMENT,Micronutrient-placebo-combination,micronutrient (capsule)-placebo (powder)-supplement
NCT00138710,1,DRUG,Letrozole (Femara),
NCT00231621,1,DRUG,topiramate,
NCT04889183,1,DRUG,Semaglutide,"Patients will be treated for 24 weeks with semaglutide 3.0 mlg/ml s.c. once weekly. The starting dose of semaglutide will be 0.24 mg per week subcutaneous injection with increasing doses at 4, 8, 12, and 16 weeks to 0.5, 1,0, 1.7 and 2.4 mg."
NCT04889183,2,DRUG,Placebo,Patients will receive a matching placebo sc. once weekly during the treatment period of 24 weeks.
NCT02978105,1,OTHER,self-conditioning techniques,Self-hypnosis to increase self-control before meals and every food compulsion episode
NCT02978105,2,OTHER,"standard care (diet, exercise and behavioral therapy)","dietary recommendations, exercise recommendations, and behavioral recommendations"
NCT05024032,1,DRUG,Tirzepatide,Administered SC
NCT05024032,2,DRUG,Placebo,Administered SC
NCT00195858,1,BEHAVIORAL,aerobic and resistance exercise,aerobic and resistance exercise
NCT05996848,1,DRUG,Cagrilintide,Participants will receive 2.4 mg cagrilintide subcutaneously.
NCT05996848,2,DRUG,Semaglutide,Participants will receive 2.4 mg semaglutide subcutaneously.
NCT05996848,3,DRUG,Placebo Semaglutide,Participants will receive placebo matched to semaglutide subcutaneously.
NCT05996848,4,DRUG,Placebo Cagrilintide,Participants will receive placebo matched to cagrilintide subcutaneously.
NCT06858878,1,DRUG,Maridebart cafraglutide,Maridebart cafraglutide will be adminstered SC.
NCT06858878,2,DRUG,Placebo,Placebo will be adminstered SC.
NCT01659450,1,OTHER,low energy dense,This group received a diet appropriate with their weight in the form of low energy density diet
NCT01659450,2,OTHER,control,This group received a diet appropriate with their weight in the form of an usual diet regarding the energy density.
NCT01659450,3,OTHER,diet,Calorie requirements of each subject were estimated based on resting energy expenditure (by the use of Harris-Benedict equation) and physical activity levels.
NCT06588296,1,DRUG,Ixekizumab,Administered SC
NCT06588296,2,DRUG,Tirzepatide,Administered SC
NCT07339423,1,DRUG,NNC0487-0111,"NNC0487-0111 will be administered subcutaneously using PDS290 pre-filled pen-injectors to one of the body parts: thigh, abdomen or upper arm."
NCT07339423,2,DRUG,Placebo (matched to NNC0487-0111),"Placebo matched to NNC0487-0111 will be administered subcutaneously using PDS290 pre-filled pen-injectors to one of the body parts: thigh, abdomen or upper arm."
NCT00392717,1,DRUG,Atorvastatin,
NCT00392717,2,DRUG,Fish oils,
NCT00563368,1,DRUG,VI-0521,"phentermine 15 mg and topiramate 92 mg, po once daily"
NCT00563368,2,DRUG,VI-0521,"phentermine 7.5 mg and topiramate 46 mg, po once daily"
NCT00563368,3,DRUG,topiramate,"topiramate 46 mg, po once daily"
NCT00563368,4,DRUG,topiramate,"topiramate 92 mg, po once daily"
NCT00563368,5,DRUG,phentermine,"phentermine 7.5 mg, po once daily"
NCT00563368,6,DRUG,phentermine,"phentermine 15 mg, po once daily"
NCT00563368,7,DRUG,VI-0521,"placebo, po once daily"
NCT03063606,1,BEHAVIORAL,Cognitive-Behavioral Therapy (CBT),CBT specialist treatment
NCT03063606,2,DRUG,NB Medication (on-going from acute treatment),Naltrexone/bupropion combination (on-going blinded pharmacotherapy from acute treatment consisting of either naltrexone/bupropion or placebo)
NCT06619015,1,DRUG,Pramlintide Acetate 1 MG/ML,"Symlin (R) (Pramlintide acetate) 1000mcg/ml, will be administered as a continuous infusion at a rate of 15mcg/hour, equivalent to the daily recommended maximum dosage of 360mcg/day."
NCT06619015,2,DRUG,Semaglutide Pen Injector,"Semaglutide from 0,25mg/week to 2,4mg/week"
NCT06619015,3,DRUG,Sodium Chloride 0.9% Inj,Placebo
NCT01040468,1,PROCEDURE,Roux-en-Y Gastric Bypass surgery,Surgical intervention for weight loss. This is a one-year study and participants will attend five study visits.
NCT01040468,2,PROCEDURE,Laparoscopic Adjustable Gastric Banding surgery,Surgical intervention for weight loss. This is a one-year study and participants will attend five study visits.
NCT01040468,3,BEHAVIORAL,Intensive Lifestyle Modification,"Intensive lifestyle modification program for weight loss. Participants randomized to this condition will receive an weekly individual treatment of 30 minutes for the first 6 months and every-other-week sessions from months 7 to 12. Treatment will be provided by a behavioral psychologist or registered dietitian following a structured curriculum used in our prior studies. During the first 4 months, participants will be prescribed a 1000-1200 kcal/d diet that provides four daily servings of meal replacement products (liquid shakes, cereals, meal bars, etc), combined with an evening dinner entree. Each serving of the meal replacement (HMR 170; Boston, MA) will provide 170 calories, with 16 g of protein, 22 g of carbohydrate, and 2 g of fat. Dinner entrees (containing at least 20 g of protein and approximately 220-260 kcal) will be consumed with a garden salad and a serving of fruit (and other vegetables allowed ad libitum throughout the day)."
NCT02108691,1,DIETARY_SUPPLEMENT,Glycin max(L.) Merr. peel extract,Glycin max(L.) Merr. peel extract (2.5g/day)
NCT02108691,2,DIETARY_SUPPLEMENT,Placebo,Placebo (2.5g/day)
NCT00108589,1,DRUG,S-adenosylmethionine,
NCT01764386,1,DRUG,NB,Naltrexone SR 32 mg/Bupropion SR 360 mg (NB) in combination tablets (daily dosage)
NCT01764386,2,BEHAVIORAL,CLI,"The Comprehensive Lifestyle Intervention (CLI) program includes telephone counseling, internet education, goal setting, and online tracking tools."
NCT01764386,3,BEHAVIORAL,Usual Care,Usual Care is a self-directed lifestyle intervention program
NCT05931380,1,DRUG,Orforglipron,Administered orally
NCT05931380,2,DRUG,Placebo,Administered orally
NCT01792362,1,OTHER,Weight loss diet,Control the patients diet to make them loosing weight
NCT04605861,1,DRUG,Liraglutide,"Liraglutide Injection, once a day, injected subcutaneously on the sites of abdomen, thigh or upper arm. The initial dose of Liraglutide Injection will be 0.6 mg per day. The dose is escalated every one to two weeks to reduce the gastrointestinal symptoms. At Week 7, the dose is increased to 3.0 mg per day. For the subjects who are not able to tolerate the target dose of 3.0 mg,the dose is reduced to 2.4 mg a day and escalated to the dose to 3.0 mg within two weeks. If the subjects are still unable to tolerate this dose (3.0 mg), the treatment is terminated."
NCT04605861,2,DRUG,Placebo,"Placebo Injection, once a day, injected subcutaneously on the sites of abdomen, thigh or upper arm. The initial dose of Placebo Injection will be 0.6 mg per day. The dose is escalated every one to two weeks to reduce the gastrointestinal symptoms. At Week 7, the dose is increased to 3.0 mg per day. For the subjects who are not able to tolerate the target dose of 3.0 mg,the dose is reduced to 2.4 mg a day and escalated to the dose to 3.0 mg within two weeks. If the subjects are still unable to tolerate this dose (3.0 mg), the treatment is terminated."
NCT07622290,1,DRUG,Metfomin,"Metformin tablets (Metformin XR, extended release 500 mg, oral tablet, active ingredient: metformin hydrochloride). The prolonged release metformin tablets 500 mg (Brand Name: GLUCOLIFE XR ® 500) will be provided by QLife Pharma manufacturer, Doha, Qatar.

Metformin tablet description: White to off white, capsule shaped, biconvex, beveled edge tablet, with occasionally mottled appearance, debossed with ""TL 001"" on one side and plain on other side."
NCT07622290,2,DRUG,Placebo,"Placebo description: 500 mg, white to off white capsule shaped biconvex, beveled edge tablet, with occasionally mottled appearance, debossed with ""TL 001"" on one side and plain on other side. Placebo will be provided by QLife Pharma manufacturer, Doha, Qatar."
NCT04741074,1,DRUG,"Semaglutide 2 mg/1.5 ml (1.34 mg/ml), prefilled pen-injector for subcutaneous injection solution",Dose will be started at 0.25 mg per week. Dose escalation will occur every 4 weeks to mitigate risk of gastrointestinal side effects to a maximum dose of 1.0 mg per week.
NCT04741074,2,DRUG,"Placebo 1.5 ml, prefilled pen-injector for subcutaneous injection solution",Matched placebo solution for injection will be provided by Novo Nordisk in a 1.5 ml pre-filled pen-injector for subcutaneous injection with the same instructions on dose escalation.
NCT06962280,1,DRUG,Tirzepatide,Administered SC
NCT06962280,2,DRUG,Placebo,Administered SC
NCT00783445,1,BEHAVIORAL,Community-Based Exercise Program (C-FIT),"Participants will do 1 hour of exercise two to three times each week in a community setting for 1 year, while being supervised by a personal coach."
NCT00783445,2,BEHAVIORAL,Self-Help Exercise Program (HOME),"After a fitness evaluation, participants will be given an exercise prescription and recommendations for home-based, self-mediated progressive exercise. Participants will be expected to do 1 hour of exercise two to three times each week for 1 year."
NCT07036172,1,DRUG,HDM1702,"Initiate at a once weekly dose of 0.25 mg and followed a fixed-dose escalation regimen, with dose increases every 4 weeks (to doses of 0.5, 1.0, 1.7 and 2.4 mg per week) aiming at reaching the maintenance dose of 2.4 mg at week 16."
NCT07036172,2,DRUG,Wegovy ®,"Initiate at a once weekly dose of 0.25 mg and followed a fixed-dose escalation regimen, with dose increases every 4 weeks (to doses of 0.5, 1.0, 1.7 and 2.4 mg per week) aiming at reaching the maintenance dose of 2.4 mg at week 16."
NCT05405244,1,DRUG,Placebo,"2 capsules, orally administered once"
NCT05405244,2,DRUG,Bromocriptine-QR,"1.6mg (2 0.8mg capsules), orally administered once"
NCT02654665,1,BEHAVIORAL,Lifestyle modification,Diet and exercise designed for 5-7% weight loss over 6 months
NCT02654665,2,DRUG,Liraglutide,GLP-1 agonist
NCT06423599,1,DRUG,Semaglutide Injectable Product,Weight loss using Semaglutide
NCT06423599,2,DIETARY_SUPPLEMENT,Calorie-restricted diet,Weight loss by calorie-restricted diet program followed by a weight loss maintenance follow-up program
NCT06383390,1,DRUG,Retatrutide,Administered SC
NCT06383390,2,DRUG,Placebo,Administered SC
NCT04086810,1,DRUG,DCCR,Once daily oral administration
NCT04788511,1,DRUG,Semaglutide,"Semaglutide will be injected into a skin fold, in the stomach, thigh or upper arm once a week at the same day of the week (to the extent possible) throughout the trial.

Dose gradually escalated from 0.25 mg until target dose. The study will last for approximately 59 weeks."
NCT04788511,2,DRUG,Placebo (semaglutide),"Placebo will be injected into a skin fold, in the stomach, thigh or upper arm once a week at the same day of the week (to the extent possible) throughout the trial.

The study will last for approximately 59 weeks."
NCT02204163,1,DRUG,Eutropin,
NCT02204163,2,DRUG,Genotropin,
NCT06884293,1,DRUG,IBI362,"Once-weekly injections of gradually increased doses of IBI362, subcutaneously (SC): starting dose is 2.0 mg, after 4 weeks of administration, increase to 4.0 mg; After another 4 weeks, increase to 6mg; After another 4 weeks, increase to the maximum dose 9mg for 36 weeks"
NCT06884293,2,DRUG,semaglutide,"Once-weekly injections of gradually increased doses, subcutaneously (SC): starting dose is 0.25 mg, after 4 weeks of administration, increase to 0.5 mg; After another 4 weeks, increase to 1mg; After another 4 weeks, increase to 1.7mg; After another 4 weeks, increase to the maximum 2.5mg for 32 weeks"
NCT00029848,1,DRUG,Rimonabant (SR141716),
NCT00645255,1,DRUG,placebo,placebo one capsule daily
NCT00645255,2,DRUG,sibutramine or placebo,one capsule daily
NCT01868347,1,OTHER,treatment,preemptive PEEP before pneumoperitoneum and trendelenburg
NCT01868347,2,OTHER,control,PEEP after pneumoperitoneum and trendelenburg
NCT07253285,1,DRUG,Cagrilintide,Participants will receive cagrilintide subcutaneously.
NCT07253285,2,DRUG,Semaglutide,Participants will receive semaglutide subcutaneously.
NCT07253285,3,DRUG,Placebo cagrilintide,Participants will receive placebo matched to cagrilintide subcutaneously.
NCT07253285,4,DRUG,Placebo semaglutide,Participants will receive placebo matched to semaglutide subcutaneously.
NCT00603109,1,DRUG,rimonabant,rimonabant capsule 20 mg per day PO for 6 months
NCT00603109,2,DRUG,placebo,Subjects take 20 mg placebo capsule one a day PO for 6 months
NCT00871416,1,DEVICE,NovoFine® needle 6 mm,
NCT00871416,2,DEVICE,NovoFine® needle 12 mm,
NCT01724099,1,DRUG,Euiiyin-tang,Korean medicinal herbal drug
NCT01724099,2,DRUG,Placebo,"Placebo drug, same odor and formula as Euiiyin-tang"
NCT02338193,1,DRUG,DAPA/MET XR,final dose- 5 mg dapagliflozin/1000 mg glucophage XR BID for 20-24 weeks
NCT02338193,2,DRUG,DAPA,10 mg dapagliflozin QD for 20-24 weeks
NCT02338193,3,DRUG,MET XR,1000 mg Metformin XR BID for 20-24 weeks
NCT05412004,1,DRUG,Tirzepatide,Administered SC
NCT05412004,2,DRUG,Placebo,Administered SC
NCT06149793,1,DRUG,Empagliflozin,Sodium glucose co-transporter 2 inhibitor
NCT06149793,2,OTHER,Placebo Control,Placebo Control
NCT02880540,1,DRUG,Fentanyl,
NCT02880540,2,DRUG,Morphine,
NCT02880540,3,DRUG,Dexmedetomidine,
NCT00677391,1,DRUG,Sibutramine,"Capsules, Wk 0: 10mg, once daily; Wks 4-24: 10mg or 15mg, once daily, dosage escalation based upon investigator's assessment."
NCT00677391,2,DRUG,Placebo,"Capsules, once daily"
NCT00221442,1,DRUG,Zonegran,zonegran (zonisamide)
NCT00221442,2,DRUG,sugar pill,fake pill
NCT06379113,1,DRUG,GnRH antagonist,"Gonadotropin-releasing hormone analogue, intramuscular injection of 3.75mg will be given every 4 weeks, and the maximum treatment courses will be 6. If the patient get CR within 6 courses, another 2 courses will be used as consolidation therapy."
NCT06379113,2,DRUG,Letrozole 2.5mg,2.5mg po qd.
NCT00391196,1,DRUG,Placebo,Subjects receive placebo plus non-pharmacological weight loss program.
NCT00391196,2,DRUG,"CP-945,598","Subjects receive CP-945,598 plus non-pharmacological weight loss program."
NCT00391196,3,DRUG,"CP-945,598 Treatment B","Subjects receive CP-945,598 plus non-pharmacological weight loss program."
NCT00554216,1,DRUG,VI-0521,3.75 mg phentermine/23 mg topiramate
NCT00554216,2,DRUG,VI-0521,15 mg phentermine/92 mg topiramate
NCT00554216,3,DRUG,Placebo matched phentermine/topiramate,Placebo matched phentermine/topiramate
NCT05040971,1,DRUG,Semaglutide 2.4 mg,"Administered subcutaneously (s.c., under the skin) once weekly as well as reduced-calorie diet and increased physical activity for 52 weeks. Doses gradually increased to 2.4 mg"
NCT05040971,2,DRUG,Placebo,"Administered subcutaneously once weekly (s.c., under the skin) as well as reduced-calorie diet and increased physical activity for 52 week"
NCT07369011,1,DRUG,Eloralintide,Administered SC
NCT07369011,2,DRUG,Placebo,Administered SC
NCT03850314,1,DIETARY_SUPPLEMENT,Glycine,Glycine powder to be dissolved in water.
NCT06893016,1,DRUG,RAY1225,RAY1225 will be administered SC
NCT06893016,2,DRUG,Placebo,Placebo will be administered SC.
NCT04885634,1,DRUG,Semaglutide Injectable Product,Subcutaneous injection of Semaglutide 2.4 mg once weekly
NCT04885634,2,DRUG,Placebo,Subcutaneous injection of volume-matched placebo once weekly
NCT00067145,1,BEHAVIORAL,Face-to-face maintenance program,
NCT00067145,2,BEHAVIORAL,Internet maintenance program,
NCT03435458,1,COMBINATION_PRODUCT,Balloon catheter + oral misoprostol,The pharmacological cervical ripening will be administered just after the balloon catheter insertion (after coming back in her room) and will consist of misoprostol 25 micrograms given orally (oral prostaglandin E1). The same dose will be given every 2 hours until beginning of labor with a maximum of 8 administrations.
NCT03435458,2,DRUG,Oral misoprostol alone,Patients will receive a pharmacological cervical ripening alone that consist of Misoprostol 25 micrograms given orally (oral prostaglandin E1). The same dose will be given every 2 hours until beginning of labor with a maximum of 8 administrations.
NCT02768818,1,DIETARY_SUPPLEMENT,Probiotic VIVOMIXX™,The patients will be randomly assigned to the VIVOMIXX™ (intervention) or the control (placebo) group through a randomization list elaborated by a specific software.
NCT02768818,2,DIETARY_SUPPLEMENT,Placebo,The patients will be randomly assigned to the VIVOMIXX™ (intervention) or the control (placebo) group through a randomization list elaborated by a specific software.
NCT00944138,1,BEHAVIORAL,Relaxation methods,Relaxation methods will include mindful meditation techniques for the intervention and listening to music for the control arm
NCT03290846,1,DRUG,Secretin Human,"Randomized, single-blinded secretin hydrochloride infusion."
NCT03290846,2,DRUG,Saline Solution,"Randomized, single-blinded saline infusion."
NCT03290846,3,OTHER,Cold exposure,All subjects will undergo a cold exposure PET scan.
NCT01758146,1,DRUG,Tamoxifen,20 mg once daily for 5 years
NCT01758146,2,DRUG,Letrozole,"Letroz, Femara, Letronat"
NCT05132088,1,DRUG,semaglutide 50 mg,"Participants will have semaglutide for 68 weeks and will have 1 tablet every morning.

Dose gradually increased to 50 mg."
NCT05132088,2,DRUG,placebo (semaglutide),Participants will have placebo tablets for 68 weeks and will have 1 tablet every morning.
NCT04683237,1,DRUG,Liraglutide Injection,"Initiate liraglutide with a dose of 0.6 mg daily for one week. After one week at 0.6 mg per day, increase the dose to 1.2 mg daily in a week, and increase the dose to 1.8 mg daily after at least one week of treatment with the 1.2 mg daily dose. If the patients can not tolerate 1.8mg per day, decrease the dose to the max tolerable dose."
NCT04683237,2,DRUG,Megestrol Acetate 160 MG,160mg po qd
NCT02397499,1,DRUG,LIPO-202,
NCT02397499,2,DRUG,Placebo,
NCT01060592,1,DEVICE,EndoFLIP device (FDA Device Listing Number : D091203),The EndoFLIP balloon catheter will be introduced to the band and used to permit the band stoma size to be adjusted to 7mm.
NCT00231530,1,DRUG,topiramate,
NCT00444392,1,BEHAVIORAL,Calorie controlled diabetic diet for the control patients,Calorie controlled diabetic diet for the control patients
NCT05309395,1,COMBINATION_PRODUCT,FoodRx,Participants will receive weekly meal plans and recipes and the groceries required to prepare the recommended meals
NCT04645719,1,OTHER,Lactate ringer group,General anesthesia only
NCT04645719,2,DRUG,Magnesium sulfate dose through real weight group,General anesthesia + magnesium sulfate 15 mg.kg-1.h-1 based on the patient's real weight
NCT04645719,3,DRUG,Magnesium sulfate dose through corrected ideal weight group,General anesthesia + magnesium sulfate 15 mg.kg-1.h-1 based on the patient's corrected ideal weight
NCT01108328,1,DIETARY_SUPPLEMENT,PolyGlycopleX (PGX),"powder, 5 grams, 3 times per day at each main meal (breakfast, lunch and dinner) for a total of 3 days"
NCT03045341,1,DRUG,NB medication (Naltrexone Bupropion combination),NB medication
NCT03045341,2,BEHAVIORAL,Behavioral Weight Loss (BWL) counseling,BWL counseling
NCT03045341,3,OTHER,Placebo,Placebo
NCT00552942,1,PROCEDURE,laparoscopic gastric bypass plus omentectomy,
NCT00808431,1,BEHAVIORAL,Lifestyle counseling,"3 month skills building program emphasizing parent training, behavior modification training, nutrition education, and physical activity promotion"
NCT02626741,1,DIETARY_SUPPLEMENT,meal replacement group,"The participants will receive SlimWell 60 grams per meal for 2 meals per day plus life style modification including educational sessions of exercise, dietary intake, food record. The duration is 3 months."
NCT02626741,2,BEHAVIORAL,control group,"The participants will receive only life style modification including educational sessions of exercise, dietary intake, food record. The duration is 3 months."
NCT01557166,1,DRUG,liraglutide,"3.0 mg liraglutide administered subcutaneously (s.c., under the skin) once daily for 32 weeks + diet and exercise"
NCT01557166,2,DRUG,placebo,"Placebo administered subcutaneously (s.c., under the skin) once daily for 32 weeks + diet and exercise"
NCT05646706,1,DRUG,Semaglutide,"Participants will receive once-weekly s.c. injections of semaglutide in escalating doses (0.25 mg, 0.5 mg, 1.0 mg, 1.7 mg, 2.4 mg and 7.2 mg) every fourth week. Treatment was continued on the maintenance dose of 7.2 mg once-weekly for an additional 52 weeks. Injections may be administered in the thigh, abdomen, or upper arm, at any time of day irrespective of meals."
NCT05646706,2,DRUG,Semaglutide,"Participants will receive once-weekly s.c. injections of semaglutide in escalating doses (0.25 mg, 0.5 mg, 1.0 mg, 1.7 mg, and 2.4 mg) every fourth week. Treatment was continued on the maintenance dose of 2.4 mg once-weekly for an additional 52 weeks. Injections may be administered in the thigh, abdomen, or upper arm, at any time of day irrespective of meals."
NCT05646706,3,DRUG,Placebo,"Participants will receive once-weekly s.c. injection of placebo matched to semaglutide for 72 weeks. Injections may be administered in the thigh, abdomen, or upper arm, at any time of day irrespective of meals."
NCT01598233,1,DEVICE,Silimed Intragastric balloon,Intragastric balloon inflated with 650 ml of NaCl 0.9% mixed with 20 ml of methylene blue solution
NCT07387094,1,DRUG,XW003 injection,subcutaneous injection
NCT07387094,2,DRUG,placebo with matching volume,subcutaneous injection
NCT00580502,1,DEVICE,LAP-BAND® Adjustable Gastric Band (LAGB®),Bariatric surgery for patient whose BMI is between 30 and 40 kg/m\^2
NCT01681069,1,DIETARY_SUPPLEMENT,IQP-VV-102,
NCT01681069,2,OTHER,Placebo,
NCT01886495,1,OTHER,nutrition intervention,
NCT02041754,1,DEVICE,IQP-AK-102,
NCT02041754,2,DEVICE,Placebo,
NCT00263042,1,DRUG,Rimonabant,"Tablet, oral administration"
NCT00263042,2,DRUG,Placebo (for Rimonabant),"Tablet, oral administration"
NCT03926052,1,DRUG,Lisdexamfetamine Dimesylate,Participants randomly assigned to this arm will receive 12 weeks of LDX medication.
NCT03926052,2,DRUG,Placebo,Participants randomly assigned to this arm will receive 12 weeks of an inactive placebo.
NCT04844918,1,DRUG,Tirzepatide,Administered SC
NCT04844918,2,OTHER,Placebo,Administered SC
NCT04102189,1,DRUG,Semaglutide,Participants will receive semaglutide s.c. once weekly for a dose escalation period of 16 weeks and a maintenance period of 52 weeks
NCT04102189,2,OTHER,Placebo,Participants will receive semaglutide placebo s.c. once weekly for a total of 68 weeks
NCT00165685,1,DRUG,Sibutramine Hydrochloride Monohydrate,
NCT04599478,1,DRUG,Naltrexone and Bupropion medication,NB medication will be taken daily in pill form.
NCT04599478,2,BEHAVIORAL,Behavioral Weight Loss,Behavioral Weight Loss (BWL) counseling includes weekly sessions.
NCT04599478,3,OTHER,Placebo,Placebo will be inactive and taken daily in pill form.
NCT01814072,1,BEHAVIORAL,12 Telephone Coaching Sessions,Participants will receive 12 telephone coaching sessions
NCT01814072,2,BEHAVIORAL,24 Telephone Coaching Sessions,Participants will receive 24 telephone coaching sessions
NCT01814072,3,BEHAVIORAL,Report to Primary Care Physician,Participants will have a report detailing their weight loss progress sent to their primary care physician
NCT01814072,4,BEHAVIORAL,Text Messages,Participants will receive regular text messages
NCT01814072,5,BEHAVIORAL,Recommendations to use meal replacements,Participants will receive recommendations from their coach to use meal replacements
NCT01814072,6,BEHAVIORAL,Buddy Training,Participants will have a buddy that will be trained via webinars to be a supportive buddy
NCT07226765,1,DRUG,Maridebart cafraglutide,Participants will receive maridebart cafraglutide SC.
NCT07226765,2,DRUG,Placebo,Participants will receive placebo SC.
NCT02754258,1,DRUG,MPH,60 days on oral methylphenidate administered 2 times daily before lunch and supper.
NCT02754258,2,DRUG,Placebo,60 days on oral placebo administered 2 times daily before lunch and supper
NCT07684235,1,DRUG,Maridebart cafraglutide,Administered subcutaneously
NCT07684235,2,DRUG,Placebo,Administered subcutaneously.
NCT00202748,1,BEHAVIORAL,Increase in activity to control weight,
NCT00202748,2,BEHAVIORAL,Increase in activity to control weight.,
NCT00166699,1,PROCEDURE,ultrasound,The use of ultrasound to guide the insertion of combined spinal epidural needle
NCT06904105,1,DRUG,HRS-7535 Tablets,HRS-7535 tablets.
NCT06904105,2,DRUG,HRS-7535 Placebo Tablets,HRS-7535 placebo tablets.
NCT00781937,1,DRUG,liraglutide,"Liraglutide 3.0 mg per day administered in a 6.0 mg/mL, 3 mL FlexPen® for subcutaneous (under the skin) injection, once daily"
NCT00781937,2,DRUG,placebo,"Liraglutide placebo 3 mL FlexPen® for subcutaneous (under the skin) injection, once daily"
NCT00896545,1,BEHAVIORAL,5-keys counseling,5-session small group intervention
NCT00896545,2,BEHAVIORAL,Lifestyle counseling,5-session small group behavioral intervention
NCT01106053,1,DRUG,Pramipexole,Pramipexole tablet titrated up to a maximum dosage of 0.5 mg three times daily (1.5 mg/day).
NCT00567255,1,DRUG,Naltrexone SR 32 mg/bupropion SR 360 mg/day,
NCT00567255,2,DRUG,Placebo,
NCT00567255,3,BEHAVIORAL,Ancillary therapy,"Ancillary therapy consisting of diet instruction, advice on behavior modification, and exercise counseling"
NCT01546792,1,BEHAVIORAL,Combined lifestyle intervention,"Exercise training, dietary advice, behaviour change counselling"
NCT00566189,1,PROCEDURE,Roux-en-Y Bypass Gastroplasty,"Under open laparotomy, a stomach section separates a 80-ml proximal gastric pouch. A jejunum section below Treitz's Angle creates an excluded gastrobiliopancreatic limb of 150cm. A Roux-in-Y retrocolic anastomosis of the alimentary limb promotes the continuity between the gastric pouch and the jejunum and a silastic ring reduces the pouch outlet.The anastomosis of the excluded limb is done 100cm below the silastic ring."
NCT02963935,1,DRUG,liraglutide,"Administered subcutaneously (s.c., under the skin) once daily for 56 weeks. Dose gradually increased to 3.0 mg"
NCT02963935,2,DRUG,placebo,"Administered subcutaneously (s.c., under the skin) once daily for 56 weeks. Dose gradually increased to 3.0 mg"
NCT02963935,3,BEHAVIORAL,CMS Intensive Behavior Therapy,Intensive Behaviour Therapy for obesity
NCT06184568,1,DRUG,IBI362,"Once-weekly injections of gradually increased doses of IBI362, subcutaneously (SC)，starting dose is IBI362 2.0 mg, continuous After 4 weeks of administration, increase to IBI362 4.0 mg. After 4 weeks of continuous administration, continue to increase to IBI362."
NCT06184568,2,DRUG,Semaglutide,"Once-weekly injections of gradually increased doses of Semaglutide, subcutaneously (SC)，starting dose is semaglutide 0.25mg, after 4 weeks of continuous administration, increase to semaglutide 0.5mg, after 4 weeks of continuous administration, continue Upgrade to semaglutide 1.0 mg for 24 weeks."
NCT03192566,1,DRUG,Tylenol,Dosing of Tylenol for post operative pain control
NCT02355041,1,BEHAVIORAL,Meal Replacement-based Weight Loss Diet,
NCT02355041,2,BEHAVIORAL,Educational Video,"Via information presented by medical professionals and lifestyle experts, this film delves into issues related to preventing and combating obesity through healthy lifestyle changes. Major topics include the importance of healthy eating and exercise behaviors and the changes that can be made by communities to reshape our lifestyles. Potential community changes are further addressed with respect to schools by presenting particularly successful programs that have been implemented in some schools. Participants will stream it free on the web."
NCT00600483,1,DRUG,gentamicin-collagen sponge dipped in saline,100-cm2 sponge
NCT01114451,1,PROCEDURE,Removal of surgical skin staples,Skin staples will be removed using standard technique with subsequent placement of steri-trips
NCT02832219,1,DIETARY_SUPPLEMENT,Molecular hydrogen,
NCT02832219,2,DIETARY_SUPPLEMENT,Placebo,
NCT02564445,1,BEHAVIORAL,Gamification,All participants will be entered with their teammate into a game that includes points and levels
NCT02564445,2,BEHAVIORAL,Share Data with PCP,Weight and step count data will be shared with the participant's primary care physician
NCT02564445,3,BEHAVIORAL,Feedback on weight,Participants will use a wireless weight scale to weigh-in at home and receive feedback on weight.
NCT02564445,4,BEHAVIORAL,Feedback on step counts,Participants will use a smartphone application that uses accelerometers within the phone to track step counts and receive feedback on step counts
NCT06972459,1,DRUG,Orforglipron,Administered orally
NCT06972459,2,DRUG,Placebo,Administered orally
NCT00807768,1,RADIATION,3-Dimensional Conformal Radiation Therapy,Undergo pelvic radiation therapy
NCT00807768,2,DRUG,Carboplatin,Given IV
NCT00807768,3,RADIATION,Intensity-Modulated Radiation Therapy,Undergo pelvic radiation therapy
NCT00807768,4,RADIATION,Internal Radiation Therapy,Undergo vaginal cuff brachytherapy
NCT00807768,5,OTHER,Laboratory Biomarker Analysis,Correlative studies
NCT00807768,6,DRUG,Paclitaxel,Given IV
NCT00807768,7,OTHER,Quality-of-Life Assessment,Ancillary studies
NCT00807768,8,OTHER,Questionnaire Administration,Ancillary studies
NCT01724970,1,DEVICE,ProSeal,Patients will be ventilated with PLMA
